method,mean_mae_prop,sd_mae_prop,mean_rmse_prop,sd_rmse_prop,mean_mae_raw,mean_rmse_raw
same_subject,0.0707141541699553,0.00484877974305815,0.0911272673806628,0.00499885498227412,2.85672191528545,4.65090044554932
als_bias_lambda10,0.0861438071852437,0.00427432639004086,0.110313441316547,0.00511794186127332,3.40939226519337,5.31502116865567
als_bias_lambda5,0.0865241310766172,0.0042634091866879,0.11064740411621,0.00528310927988387,3.42430939226519,5.35740314739333
als_bias_lambda20,0.0865558040281797,0.00446179307787388,0.110793017920877,0.00525472812779265,3.41804788213628,5.31155550402247
als_bias_lambda3,0.0868479347540121,0.00443021352963849,0.11098097051723,0.00546021885037842,3.43977900552486,5.38719651980716
als_bias_lambda1,0.0878090853284224,0.00465954567782124,0.111912468368083,0.0056725353785072,3.47108655616943,5.46404571534622
paper_median,0.0888967230845684,0.00491863865550615,0.11324365536578,0.00579371056281527,3.45837937384899,5.31416778916402
paper_mean,0.0891792510742787,0.00482966597022256,0.113567989530262,0.00578359712724365,3.4683241252302,5.32896150558327
